company,projectName,location,country,industry,region,type,services,date,completed,description,lat,lng
New Horizon Surveys India Private Limited,"Bathymetry survey, Geophysical survey, Metocean Observations and sample collections and analysis at Chhara LNG Terminal","Chhara, Gujarat",India,Survey & Geoscience Contractors,Asia,"Bathymetry survey, Geophysical survey AND GEOTECHNICAL SERVICES",Bathymetry Survey; Geophysical Survey; Geotechnical Services,01-11-2019,Completed in January 2020,"Bathymetry survey, Geophysical survey, Metocean Observations and sample collections and analysis at Chhara LNG Terminal. (Completed in January 2020)",20.72,71.53
EGS (Asia) Ltd.,Provision of Personnel Support to carry out landfall survey in Philippines,Philippines,Philippines,Submarine Cable Contractors,Asia,Topographic Survey,Topographic Survey; Submarine Cable Route Surveys,01-10-2019,Completed in December 2019,Provision of Personnel Support to carry out landfall survey in Philippines. (Completed in December 2019),10.3,123.9
EGS (Asia) Ltd.,Provision of Personnel Support onboard vessel EGS Surveyor,Not specified,Singapore,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-10-2019,Completed in November 2019,Provision of Personnel Support onboard vessel EGS Surveyor. (Completed in November 2019),1.3521,103.8198
Atlantis Consultancy,DTS of BMH locations in Mumbai and Chennai,"Chennai, Tamil Nadu",India,Telecom Operators & Cable Owners,Asia,Desktop Study for Offshore Projects,Desktop Study for Offshore Projects,01-10-2019,Completed in October 2019,DTS of BMH locations in Mumbai and Chennai. (Completed in October 2019),13.083,80.27
EGS (Asia) Ltd.,Provision of Personnel Support onboard vessel EGS Surveyor,Not specified,Singapore,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-09-2019,Completed in October 2019,Provision of Personnel Support onboard vessel EGS Surveyor. (Completed in October 2019),1.3521,103.8198
EGS (Asia) Ltd.,Provision of Personnel Support onboard vessel Northern Endeavour,Not specified,Singapore,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-09-2019,Completed in October 2019,Provision of Personnel Support onboard vessel Northern Endeavour. (Completed in October 2019),1.3521,103.8198
EGS (Asia) Ltd.,Provision of Personnel Support onboard vessel EGS Surveyor,Not specified,India,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-08-2019,Completed in August 2019,Provision of Personnel Support onboard vessel EGS Surveyor. (Completed in August 2019),18.922,72.819
Tata Consulting Engineers Limited.,"Geotechnical Investigation, Topographic, Met-ocean observations including baseline data collection for EIA / EMP studies & Geophysical Survey for Construction of new Wharf at ND(Mumbai) and Jetty at Karanja.","Mumbai, Maharashtra",India,Engineering & Construction,Asia,Topographic Survey AND Geotechnical Investigation,Topographic Survey; Geotechnical Services,01-07-2019,Completed in September 2020,"Geotechnical Investigation, Topographic, Met-ocean observations including baseline data collection for EIA / EMP studies & Geophysical Survey for Construction of new Wharf at ND(Mumbai) and Jetty at Karanja (Completed in September 2020)",18.95,72.9
Adani Cementation Ltd.,"Consultant for conducting Geophysical Survey, Bathymetry Survey and Oceanographic Data Collection and Study for KORI creek during Monsoon and Post Monsoon for 10MTPA Lakhpat Clinkerisation unit.","Gulf of Kutch, Gujarat",India,Engineering & Construction,Asia,"Geophysical Survey, Bathymetry Survey and Oceanographic Data Collection",Geophysical Survey; Bathymetry Survey; Shallow & Deep Water Oceanography,01-07-2019,Completed in March 2020,"Consultant for conducting Geophysical Survey, Bathymetry Survey and Oceanographic Data Collection and Study for KORI creek during Monsoon and Post Monsoon for 10MTPA Lakhpat Clinkerisation unit (Completed in March 2020)",22.6,69.8
EGS (Asia) Ltd.,Provision of Personnel Support onboard vessel Northern Endeavour,Not specified,Singapore,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-07-2019,Completed in July 2019,Provision of Personnel Support onboard vessel Northern Endeavour. (Completed in July 2019),1.3521,103.8198
EGS (Asia) Ltd.,Provision of Personnel Support onboard vessel EGS Surveyor.,Mumbai,India,Submarine Cable Contractors,Asia,Desktop Study for Offshore Projects,Desktop Study for Offshore Projects,01-06-2019,Completed in June 2019,Provision of Personnel Support onboard vessel EGS Surveyor (Completed in June 2019),19.076,72.8777
Howe Engineering Projects (India) Pvt. Ltd.,"Multi beam bathymetry survey works before monsoon and also after monsoon at Break water location at Vizhinjam, Kerala.","Vizhinjam, Kerala",India,Engineering & Construction,Asia,Multi beam bathymetry survey,Bathymetry Survey,01-06-2019,Completed in September 2019,"Multi beam bathymetry survey works before monsoon and also after monsoon at Break water location at Vizhinjam, Kerala (Completed in September 2019)",8.378,76.99
EGS (Asia) Ltd.,DTS and Report for TEAS in Mumbai,"Mumbai, Maharashtra",India,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-05-2019,Completed in May 2019,DTS and Report for TEAS in Mumbai. (Completed in May 2019),18.95,72.9
EGS (Asia) Ltd.,Provision of Personnel Support onboard vessel Northern Endeavour (Japan),Japan,Japan,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-04-2019,Completed in July 2019,Provision of Personnel Support onboard vessel Northern Endeavour (Japan). (Completed in July 2019),35.68,139.69
Arcadis India Pvt. Ltd.,Offshore Marine Water & Sediment Sampling and Analysis.,Not specified,India,Engineering & Construction,Asia,Offshore Platform Site & Pipeline Route Surveys,Offshore Platform Site & Pipeline Route Surveys; Shallow & Deep Water Oceanography,01-04-2019,Completed in August 2019,Offshore Marine Water & Sediment Sampling and Analysis (Completed in August 2019),19.076,72.8777
Atlantis Consultancy,DTS of BMH location in Chennai.,"Chennai, Tamil Nadu",India,Telecom Operators & Cable Owners,Asia,Desktop Study for Offshore Projects,Desktop Study for Offshore Projects,01-04-2019,Completed in April 2019,DTS of BMH location in Chennai (Completed in April 2019),13.083,80.27
EGS (Asia) Ltd.,Provision of Personnel Support onboard Vessel Northern Endeavour,Not specified,India,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-01-2019,Completed in April 2019,Provision of Personnel Support onboard Vessel Northern Endeavour. (Completed in April 2019),19.076,72.8777
Amphibia Consultants Pvt. Ltd.,Provision of Survey Support for CANI project,Andaman & Nicobar,India,Telecom Operators & Cable Owners,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-01-2019,Completed April 2019,Provision of Survey Support for CANI project. (Completed April 2019),11.7,92.7
EGS (Asia) Ltd.,Provision of Personnel Support onboard vessel Northern Endeavour. (Solomon Island),Solomon Islands,Solomon Islands,Survey & Geoscience Contractors,Oceania,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-10-2018,Completed in December 2018,Provision of Personnel Support onboard vessel Northern Endeavour. (Solomon Island). (Completed in December 2018),-9.65,160.16
Kongsberg Maritime India Pvt. Ltd.,"Training on SBP at Paira Port, Pathuakhali, Bangladesh",Bangladesh,Bangladesh,Marine Technology & Equipment,Asia,Consultancy for Offshore Projects,Consultancy for Offshore Projects,01-10-2018,Completed in October 2018,"Training on SBP at Paira Port, Pathuakhali, Bangladesh. (Completed in October 2018)",22,90.5
EGS (Asia) Ltd.,Provision of Personnel Support onboard vessel RS Shankar (Taiwan),Taiwan,Taiwan,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys and Desktop Study,Submarine Cable Route Surveys; Desktop Study for Offshore Projects,01-10-2018,Completed in December 2018,Provision of Personnel Support onboard vessel RS Shankar (Taiwan). (Completed in December 2018),23.7,120.96
Sapura Engineering & Construction (India) Pvt. Ltd.,Additional Topographic Survey at Pirpau Location,"Mumbai, Maharashtra",India,Engineering & Construction,Asia,Topographic Survey,Topographic Survey,01-10-2018,Completed in October 2018,Additional Topographic Survey at Pirpau Location. (Completed in October 2018),18.95,72.9
EGS (Asia) Ltd.,Provision of Personnel Support onboard vessel Northern Endeavour. (Papua New Guinea),Papua New Guinea,Papua New Guinea,Submarine Cable Contractors,Oceania,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-09-2018,Completed in November 2018,Provision of Personnel Support onboard vessel Northern Endeavour. (Papua New Guinea). (Completed in November 2018),-6.31,143.96
Elcome Integrated,Training on Qinsy software at KERI Campus,Not specified,India,Marine Technology & Equipment,Asia,Consultancy for Offshore Projects,Consultancy for Offshore Projects,01-09-2018,Completed in October 2018,Training on Qinsy software at KERI Campus. (Completed in October 2018),19.076,72.8777
EGS (Asia) Ltd.,"Provision of Personnel Support - Shore based Geo for data processing, Hong Kong",Hong Kong,Hong Kong,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys and Desktop Study,Submarine Cable Route Surveys; Desktop Study for Offshore Projects,01-09-2018,Completed in October 2018,"Provision of Personnel Support - Shore based Geo for data processing, Hong Kong. (Completed in October 2018)",22.32,114.17
Mantovani Dharti Pvt. Ltd.,"Side Scan Sonar Survey at Jafrabad, near Rajula, Gujarat.","Jafrabad, Gujarat",India,Engineering & Construction,Asia,Side Scan Sonar Survey,Geophysical Survey,01-09-2018,Completed in October 2018,"Side Scan Sonar Survey at Jafrabad, near Rajula, Gujarat (Completed in October 2018)",20.87,71.37
EGS (Asia) Ltd.,"Provision of Personnel Support - Shore based Geo for data processing, Hong Kong.",Hong Kong,Hong Kong,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys and Desktop Study,Submarine Cable Route Surveys; Desktop Study for Offshore Projects,01-09-2018,Completed in September 2018,"Provision of Personnel Support - Shore based Geo for data processing, Hong Kong (Completed in September 2018)",22.32,114.17
EGS (Asia) Ltd.,"Provision of Personnel Support - Shore based Geo for data processing, Hong Kong.",Hong Kong,Hong Kong,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys and Desktop Study,Submarine Cable Route Surveys; Desktop Study for Offshore Projects,01-08-2018,Completed in September 2018,"Provision of Personnel Support - Shore based Geo for data processing, Hong Kong (Completed in September 2018)",22.32,114.17
EGS (Asia) Ltd.,Provision of Personnel Support onboard vessel EGS Surveyor. (Singapore),Singapore,Singapore,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-08-2018,Completed in September 2018,Provision of Personnel Support onboard vessel EGS Surveyor. (Singapore). (Completed in September 2018),1.35,103.82
Adani Infra (India) Limited,Conducting sampling and testing of river water and bed for intake water system of 2x800 MW coal based Ultra Supercritical Thermal Power Project.,Madhya Pradesh,India,Engineering & Construction,Asia,GEOTECHNICAL SURVEY,Geotechnical Services,01-07-2018,Completed in November 2018,Conducting sampling and testing of river water and bed for intake water system of 2x800 MW coal based Ultra Supercritical Thermal Power Project (Completed in November 2018),22.25,76.15
EGS (Asia) Ltd.,"Provision of Personnel Support - Shore based Geo for data processing, Taiwan",Taiwan,Taiwan,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys and Desktop Study,Submarine Cable Route Surveys; Desktop Study for Offshore Projects,01-06-2018,Completed in August 2018,"Provision of Personnel Support - Shore based Geo for data processing, Taiwan. (Completed in August 2018)",23.7,120.96
EGS (Asia) Ltd.,Provision of Personnel Support onboard vessel Geo Explorer (Peru),Peru,Peru,Submarine Cable Contractors,South America,Submarine Cable Route Surveys and Desktop Study,Submarine Cable Route Surveys; Desktop Study for Offshore Projects,01-06-2018,Completed in August 2018,Provision of Personnel Support onboard vessel Geo Explorer (Peru). (Completed in August 2018),-12.05,-77.04
EGS Survey Pty. Ltd. (Australia),Provision of a Surveyor on board MV Solution (Mozambique),Mozambique,Mozambique,Submarine Cable Contractors,Africa,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-06-2018,Completed in September 2018,Provision of a Surveyor on board MV Solution (Mozambique). (Completed in September 2018),-18.67,35.53
EGS (Asia) Ltd.,Provision of Personnel Support onboard vessel Northern Endeavour.,Not specified,Singapore,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-06-2018,Completed in July 2018,Provision of Personnel Support onboard vessel Northern Endeavour (Completed in July 2018),1.3521,103.8198
EGS (Asia) Ltd.,Provision of Personnel Support onboard vessel EGS Surveyor,Not specified,Singapore,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-05-2018,Completed in July 2018,Provision of Personnel Support onboard vessel EGS Surveyor. (Completed in July 2018),1.3521,103.8198
HPCL - Mittal Pipeline Limited,"Offshore Seabed Engineering Survey off Modhva Coast, Gulf off Kutch.","Gulf of Kutch, Gujarat",India,Oil & Gas,Asia,Offshore Platform Site & Pipeline Route Surveys,Offshore Platform Site & Pipeline Route Surveys,01-05-2018,Completed in December 2018,"Offshore Seabed Engineering Survey off Modhva Coast, Gulf off Kutch (Completed in December 2018)",22.6,69.8
EGS (Asia) Ltd.,Provision of Personnel Support onboard vessel Ridley Thomas.,Not specified,Singapore,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-05-2018,Completed in May 2018,Provision of Personnel Support onboard vessel Ridley Thomas (Completed in May 2018),1.3521,103.8198
Atlantis Consultancy,DTS of two segments Havelock to Long Island and Long Island to Rangat - Andaman,Andaman & Nicobar,India,Telecom Operators & Cable Owners,Asia,Desktop Study for Offshore Projects,Desktop Study for Offshore Projects,01-05-2018,Completed in May 2018,DTS of two segments Havelock to Long Island and Long Island to Rangat - Andaman. (Completed in May 2018),11.7,92.7
Vizhinjam International Seaport Ltd.,Geophysical Survey works at Vizhinjam,"Vizhinjam, Kerala",India,"Ports, Shipyards & Harbours",Asia,Geophysical Survey,Geophysical Survey,01-05-2018,Completed in December 2018,Geophysical Survey works at Vizhinjam. (Completed in December 2018),8.378,76.99
Indomarine Solutions,Bathymetry Survey at Ponnani and Kovalithottam,Kerala Coast,India,Survey & Geoscience Contractors,Asia,Bathymetry Survey,Bathymetry Survey,01-04-2018,Completed in April 2018,Bathymetry Survey at Ponnani and Kovalithottam. (Completed in April 2018),9,76.5
Howe Engineering Projects (India) Pvt. Ltd.,"Observation of wave in the container jetty area during Monsoon 2018 at Vizhinjam Port, Kerala","Vizhinjam, Kerala",India,Engineering & Construction,Asia,Not specified,Shallow & Deep Water Oceanography,01-04-2018,,"Observation of wave in the container jetty area during Monsoon 2018 at Vizhinjam Port, Kerala.",8.378,76.99
Sapura Engineering & Construction (India) Pvt. Ltd.,"Provision of Pre-Engineering, Pre-Installation & As Laid Survey Services - Fifth Oil Berth at Jawahar Dweep Project of MbPT.","Mumbai, Maharashtra",India,Engineering & Construction,Asia,Topographic Survey,Topographic Survey,01-03-2018,Completed in April 2018,"Provision of Pre-Engineering, Pre-Installation & As Laid Survey Services - Fifth Oil Berth at Jawahar Dweep Project of MbPT (Completed in April 2018)",18.95,72.9
Tata Consulting Engineers Limited,"Geotechnical Investigation, Topographic & Geophysical Survey for Consultancy Services for DPR, Tendering & Contracting and PMC for Construction of Dry Dock, Wharves and Associated Facilities (DGNP - Kochi)","Kochi, Kerala",India,Engineering & Construction,Asia,"Geotechnical Investigation, Topographic & Geophysical Survey for Consultancy Services for DPR and Consultancy for Offshore Projects",Geotechnical Services; Topographic Survey; Geophysical Survey; DPR Preparation for Offshore Industry; Consultancy for Offshore Projects,01-03-2018,Completed in April 2018,"Geotechnical Investigation, Topographic & Geophysical Survey for Consultancy Services for DPR, Tendering & Contracting and PMC for Construction of Dry Dock, Wharves and Associated Facilities (DGNP - Kochi). (Completed in April 2018)",9.931,76.267
TechnipFMC Ltd,Geophysical Survey Works for LNG/GAS Development Project,"Colombo, Sri Lanka",Sri Lanka,Oil & Gas,Asia,Geophysical Survey,Geophysical Survey,01-02-2018,Completed in July 2018,Geophysical Survey Works for LNG/GAS Development Project. (Completed in July 2018),6.9271,79.8612
Petronet LNG Limited,Bathymetry Survey at Kochi,"Kochi, Kerala",India,Oil & Gas,Asia,Bathymetry Survey,Bathymetry Survey,01-02-2018,Completed in March 2018,Bathymetry Survey at Kochi. (Completed in March 2018),9.931,76.267
Sarathy Geotech & Engineering Services Pvt Ltd,"Geophysical Survey work at Colombo, Sri Lanka",Sri Lanka,Sri Lanka,Survey & Geoscience Contractors,Asia,Geophysical Survey,Geophysical Survey,01-02-2018,Completed in May 2018,"Geophysical Survey work at Colombo, Sri Lanka. (Completed in May 2018)",6.93,79.84
Sanghi Industries Ltd.,Wave and Current Measurement of Sanghi Channel,Not specified,India,Industrial & Materials,Asia,Bathymetry Survey,Bathymetry Survey,01-02-2018,Completed in March 2018,Wave and Current Measurement of Sanghi Channel. (Completed in March 2018),23.48,68.43
Indomarine Solutions,Bathymetry Survey at Kanyakumari for Tamilnadu Maritime Board,Kerala Coast,India,Survey & Geoscience Contractors,Asia,Bathymetry Survey,Bathymetry Survey,01-12-2017,Completed in December 2017,Bathymetry Survey at Kanyakumari for Tamilnadu Maritime Board. (Completed in December 2017),9,76.5
Telecommunications Consultants India Limited (TCIL),Desktop study Lakshadweep,Lakshadweep,India,Telecom Operators & Cable Owners,Asia,Desktop Study for Offshore Projects,Desktop Study for Offshore Projects,01-12-2017,Completed in April 2018,Desktop study Lakshadweep. (Completed in April 2018),10.57,72.64
Tata Consulting Engineers Limited.,"Preparation of a Techno Economic Feasibility Report for Development of Port at Vijaydurg, Maharashtra.","Konkan Coast, Maharashtra",India,Engineering & Construction,Asia,DPR Preparation for Offshore Industry,DPR Preparation for Offshore Industry,01-12-2017,,"Preparation of a Techno Economic Feasibility Report for Development of Port at Vijaydurg, Maharashtra",17.6,73.2
Howe Engineering Projects (India) Pvt. Ltd.,Geophysical Survey at Vizhinjam Port,"Vizhinjam, Kerala",India,Engineering & Construction,Asia,Bathymetry Survey,Bathymetry Survey,01-12-2017,Completed in December 2017,Geophysical Survey at Vizhinjam Port. (Completed in December 2017),8.378,76.99
Indomarine Solutions,Bathymetry and Current Meter observation in Tuticorin.,"Tuticorin, Tamil Nadu",India,Survey & Geoscience Contractors,Asia,Sub-Bottom Profiling Survey,Geophysical Survey,01-12-2017,Completed in December 2017,Bathymetry and Current Meter observation in Tuticorin (Completed in December 2017),8.76,78.13
Howe Engineering Projects (India) Pvt. Ltd.,"Sub-Bottom Profiling Survey at Thengapattanam for breakwater project at Vizhinjam, Kerala.","Vizhinjam, Kerala",India,Engineering & Construction,Asia,Wide Area Positioning Services,Wide Area Positioning Services,01-12-2017,Completed in December 2017,"Sub-Bottom Profiling Survey at Thengapattanam for breakwater project at Vizhinjam, Kerala (Completed in December 2017)",8.378,76.99
Marine Engineering and Trade Services,Positioning Services.,"Paradip Port, Odisha",India,Survey & Geoscience Contractors,Asia,Calibration Services,Wide Area Positioning Services,01-12-2017,Completed in December 2017,Positioning Services (Completed in December 2017),20.2666,86.6666
Sadhav Shipping Ltd.,Calibration Services at Paradip Port,"Paradip, Odisha",India,"Marine Salvage, Diving & Shipping",Asia,Geophysical Survey,Geophysical Survey,01-12-2017,Completed in December 2017,Calibration Services at Paradip Port. (Completed in December 2017),20.316,86.611
National Marine & Infrastructure India Pvt. Ltd.,Magnetometer Survey at Zafrabad.,"Jafrabad, Gujarat",India,Survey & Geoscience Contractors,Asia,Consultancy for Offshore Projects,Consultancy for Offshore Projects,01-12-2017,Completed in December 2017,Magnetometer Survey at Zafrabad (Completed in December 2017),20.87,71.37
Elcome Integrated Systems Pvt. Ltd.,Provision of Survey personnel for Qinsy software,"Kutch, Gujarat",India,Marine Technology & Equipment,Asia,Bathymetry Survey,Bathymetry Survey,01-11-2017,Completed in November 2017,Provision of Survey personnel for Qinsy software. (Completed in November 2017),23.7337,69.8597
Adani Cementation Ltd.,"Bathymetry Survey for establishment of jetty and navigation channel for 10 MTPA Clinkerisation Unit at Lakhpat Dist. Kutch, Gujarat","Gulf of Kutch, Gujarat",India,Engineering & Construction,Asia,Geophysical Survey,Geophysical Survey,01-11-2017,Completed in Mar 2019,"Bathymetry Survey for establishment of jetty and navigation channel for 10 MTPA Clinkerisation Unit at Lakhpat Dist. Kutch, Gujarat. (Completed in Mar 2019)",22.6,69.8
H-Energy,"Pre-Engineering Geophysical Survey off Kukrahati, West Bengal.","Cuddalore, Tamil Nadu",India,Oil & Gas,Asia,Bathymetry Survey,Bathymetry Survey,01-09-2017,Completed in October 2017,"Pre-Engineering Geophysical Survey off Kukrahati, West Bengal (Completed in October 2017)",11.75,79.7667
Bluefin Marine,Survey at Cuddalore,"Chennai, Tamil Nadu",India,Survey & Geoscience Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-09-2017,Completed in September 2017,Survey at Cuddalore. (Completed in September 2017),13.083,80.27
EGS (Asia) Ltd.,Provision of personnel support on vessel Northern Endeavour,South East Kuwait for UXO Search,Kuwait,Submarine Cable Contractors,Middle East,Gradiometer Surveys for UXO Search,Gradiometer Surveys for UXO Search; Submarine Cable Route Surveys,01-08-2017,Completed in September 2017,Provision of personnel support on vessel Northern Endeavour. (Completed in September 2017),29.3759,47.9774
MUSC FZE,Provision of Survey Engineer for the UXO and Underground Detection Works in South East Kuwait Construction Project.,Kuwait,Kuwait,"Government, Defence & Public Sector",Middle East,Gradiometer Surveys for UXO Search,Gradiometer Surveys for UXO Search,01-08-2017,Completed in October 2017,Provision of Survey Engineer for the UXO and Underground Detection Works in South East Kuwait Construction Project (Completed in October 2017),29.37,47.98
"IIT, Mumbai",Mithi river discharge measurement,"Mumbai, Maharashtra",India,Academia & Research,Asia,GEOTECHNICAL SURVEY,Geotechnical Services,01-07-2017,Completed in August 2017,Mithi river discharge measurement. (Completed in August 2017),18.95,72.9
"IIT, Chennai",Carrying out discharge measurement and water sample analysis at Kolkata Port Trust,"Chennai, Tamil Nadu",India,Academia & Research,Asia,Bathymetry Survey,Bathymetry Survey,01-07-2017,Completed in August 2017,Carrying out discharge measurement and water sample analysis at Kolkata Port Trust. (Completed in August 2017),13.083,80.27
"IIT, Chennai",Boat for Bathymetry Survey along Devaneri Coast of Tamil Nadu,"Chennai, Tamil Nadu",India,Academia & Research,Asia,Weather Forecasting Services,Weather Forecasting Services,01-06-2017,Completed in Mar 2019,Boat for Bathymetry Survey along Devaneri Coast of Tamil Nadu. (Completed in Mar 2019),13.083,80.27
Dharti Dredging and Infrastructure Ltd.,"Weather Forecasting Services for Dahej, Gogha and Ullal","Dahej, Gujarat",India,Engineering & Construction,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-06-2017,Completed,"Weather Forecasting Services for Dahej, Gogha and Ullal. (Completed)",21.702,72.584
EGS (Asia) Ltd.,Provision of personnel support on vessel Northern Endeavour,Not specified,Singapore,Submarine Cable Contractors,Asia,"Sand Resource, Bathymetry Survey AND Shallow & Deep Water Oceanography",Bathymetry Survey; Shallow & Deep Water Oceanography; Submarine Cable Route Surveys,01-05-2017,Completed in June 2017,Provision of personnel support on vessel Northern Endeavour. (Completed in June 2017),1.3521,103.8198
Beach Sanctuary Pte Ltd.,"Sand Resource, Bathymetry, Beach Profiling and Oceanographic Survey","Uran, MUMBAI",India,Other,Asia,Offshore Platform Site & Pipeline Route Surveys,Offshore Platform Site & Pipeline Route Surveys,01-05-2017,Completed in May 2018,"Sand Resource, Bathymetry, Beach Profiling and Oceanographic Survey. (Completed in May 2018)",18.8833,72.9333
SARK EPC Projects Pvt. Ltd,Carrying out off shore survey on Uran Mandwa pipeline for GAIL Mumbai Project (Approx 10 Km),"Mumbai, Maharashtra",India,Engineering & Construction,Asia,Geophysical Surveys,Geophysical Survey,01-05-2017,Completed in May 2017,Carrying out off shore survey on Uran Mandwa pipeline for GAIL Mumbai Project (Approx 10 Km). (Completed in May 2017),18.95,72.9
Petronet LNG Ltd.,Marine Geophysical Surveys for LNG Terminal at Kutubdia Island (Bangladesh).,Bangladesh,Bangladesh,Oil & Gas,Asia,Bathymetry Survey,Bathymetry Survey,01-03-2017,Completed in May 2017,Marine Geophysical Surveys for LNG Terminal at Kutubdia Island (Bangladesh) (Completed in May 2017),22,90.5
Infinium Solutionz,Bathymetry Survey for Various Ports of Gujarat,"Nemili, Tamil Nadu",India,Survey & Geoscience Contractors,Asia,Geophysical Survey,Geophysical Survey,01-02-2017,Completed in May 2018,Bathymetry Survey for Various Ports of Gujarat. (Completed in May 2018),12.7167,80.1167
Larsen & Toubro,Geophysical Survey at Nemelli,"Chennai, Tamil Nadu",India,Engineering & Construction,Asia,Bathymetry Survey,Bathymetry Survey,01-02-2017,Completed in February 2017,Geophysical Survey at Nemelli. (Completed in February 2017),13.083,80.27
National Marine and Infrastructure (I) Pvt. Ltd.,"Multibeam Survey for Swan LNG Port at Jafarabad, Gujarat.","Jafrabad, Gujarat",India,Survey & Geoscience Contractors,Asia,Offshore Platform Site & Pipeline Route Surveys,Offshore Platform Site & Pipeline Route Surveys,01-01-2017,Completed in February 2017,"Multibeam Survey for Swan LNG Port at Jafarabad, Gujarat (Completed in February 2017)",20.87,71.37
Indian Oil Corporation Limited,"Off-Shore Pipeline Survey of 42"" dia. pipeline at WRPL, Vadinar","Vadinar, Gujarat",India,Oil & Gas,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-01-2017,,"Off-Shore Pipeline Survey of 42"" dia. pipeline at WRPL, Vadinar.",22.42,69.72
EGS (Asia) Limited,"Proposed Submarine Power Cable Survey between Chittagong and Sandwip, Bangladesh",Bangladesh,Bangladesh,Submarine Cable Contractors,Asia,"Geophysical Survey, Bathymetry Survey and Topographic SURVEY",Geophysical Survey; Bathymetry Survey; Topographic Survey; Submarine Cable Route Surveys,01-01-2017,Completed in March 2017,"Proposed Submarine Power Cable Survey between Chittagong and Sandwip, Bangladesh. (Completed in March 2017)",22,90.5
Howe Engineering Projects (India) Pvt. Ltd.,"Geotechnical Investigation, Topographic, Bathymetric & Geophysical Survey for preparation of Detailed Project Report for an Outer Harbour nearer to the south of existing south breakwater of Paradip Port.","Paradip, Odisha",India,Engineering & Construction,Asia,"Bathymetry Survey, Geophysical Survey and Topography Survey",Bathymetry Survey; Geophysical Survey; Topographic Survey,01-01-2017,Completed in April 2017,"Geotechnical Investigation, Topographic, Bathymetric & Geophysical Survey for preparation of Detailed Project Report for an Outer Harbour nearer to the south of existing south breakwater of Paradip Port (Completed in April 2017)",20.316,86.611
National Marine Dredging Company,"Bathymetry, Geophysical and Topography Survey at Swan India Project",Not specified,India,Engineering & Construction,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-11-2016,Completed in December 2016,"Bathymetry, Geophysical and Topography Survey at Swan India Project. (Completed in December 2016)",19.076,72.8777
EGS (Asia) Ltd.,Provision of Personnel Support on board vessel Voyager,"Mormugao Port, Goa",India,Submarine Cable Contractors,Asia,Bathymetry Survey,Bathymetry Survey; Submarine Cable Route Surveys,01-11-2016,Completed in December 2016,Provision of Personnel Support on board vessel Voyager. (Completed in December 2016),15.4167,73.8
Arihant Ship Breakers,"Wreck Survey off Mormugao Port, Goa",Goa,India,"Marine Salvage, Diving & Shipping",Asia,Not specified,Geophysical Survey,01-11-2016,Completed in November 2016,"Wreck Survey off Mormugao Port, Goa. (Completed in November 2016)",15.4,73.8
EGS (Asia) Ltd.,Provision of Personnel Support on board vessel EGS Surveyor,India,India,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-11-2016,Completed in December 2016,Provision of Personnel Support on board vessel EGS Surveyor. (Completed in December 2016),19.076,72.8777
KPB Consultants Ltd.,Marine Monitoring in Sohar,Oman,Oman,Engineering & Construction,Middle East,Marine Monitoring Services,Shallow & Deep Water Oceanography,01-10-2016,Completed in October 2016,Marine Monitoring in Sohar. (Completed in October 2016),23.6,58.5
